iso3,country,region
AGO,Angola,Sub-Saharan Africa
BDI,Burundi,Sub-Saharan Africa
BEN,Benin,Sub-Saharan Africa
BFA,Burkina Faso,Sub-Saharan Africa
BWA,Botswana,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa
CIV,Cote d'Ivoire,Sub-Saharan Africa
CMR,Cameroon,Sub-Saharan Africa
COD,"Congo, Dem. Rep.",Sub-Saharan Africa
COG,"Congo, Rep.",Sub-Saharan Africa
COM,Comoros,Sub-Saharan Africa
CPV,Cabo Verde,Sub-Saharan Africa
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan"
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan"
ERI,Eritrea,Sub-Saharan Africa
ETH,Ethiopia,Sub-Saharan Africa
GAB,Gabon,Sub-Saharan Africa
GHA,Ghana,Sub-Saharan Africa
GIN,Guinea,Sub-Saharan Africa
GMB,"Gambia, The",Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa
GNQ,Equatorial Guinea,Sub-Saharan Africa
KEN,Kenya,Sub-Saharan Africa
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan"
LSO,Lesotho,Sub-Saharan Africa
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan"
MDG,Madagascar,Sub-Saharan Africa
MLI,Mali,Sub-Saharan Africa
MOZ,Mozambique,Sub-Saharan Africa
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
NAM,Namibia,Sub-Saharan Africa
NER,Niger,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa
RWA,Rwanda,Sub-Saharan Africa
SDN,Sudan,Sub-Saharan Africa
SEN,Senegal,Sub-Saharan Africa
SLE,Sierra Leone,Sub-Saharan Africa
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa
SSD,South Sudan,Sub-Saharan Africa
STP,Sao Tome and Principe,Sub-Saharan Africa
SWZ,Eswatini,Sub-Saharan Africa
SYC,Seychelles,Sub-Saharan Africa
TCD,Chad,Sub-Saharan Africa
TGO,Togo,Sub-Saharan Africa
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan"
TZA,Tanzania,Sub-Saharan Africa
UGA,Uganda,Sub-Saharan Africa
ZAF,South Africa,Sub-Saharan Africa
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
