iso3,country,year,value
AGO,Angola,2015,37.6
BDI,Burundi,2024,52.8
BEN,Benin,2021,34.1
BFA,Burkina Faso,2021,21.1
BWA,Botswana,2007,28.9
CAF,Central African Republic,2022,37.9
CIV,Cote d'Ivoire,2021,23.4
CMR,Cameroon,2018,28.9
COD,"Congo, Dem. Rep.",2023,44.7
COG,"Congo, Rep.",2014,21.2
COM,Comoros,2022,18.2
CPV,Cabo Verde,2018,6
DZA,Algeria,2019,9.8
EGY,"Egypt, Arab Rep.",2021,12.8
ERI,Eritrea,2010,52.5
ETH,Ethiopia,2019,36.8
GAB,Gabon,2020,14.4
GHA,Ghana,2022,17.4
GIN,Guinea,2022,26.1
GMB,"Gambia, The",2020,17.5
GNB,Guinea-Bissau,2019,28.1
GNQ,Equatorial Guinea,2011,26.2
KEN,Kenya,2022,17.6
LBR,Liberia,2019,29.8
LBY,Libya,2022,7.9
LSO,Lesotho,2024,35.6
MAR,Morocco,2019,14.2
MDG,Madagascar,2021,39.8
MLI,Mali,2024,25.1
MOZ,Mozambique,2022,36.7
MRT,Mauritania,2022,25.1
MWI,Malawi,2020,35.5
NAM,Namibia,2013,22.7
NER,Niger,2022,47.7
NGA,Nigeria,2021,33.8
RWA,Rwanda,2020,33.1
SDN,Sudan,2014,38.2
SEN,Senegal,2023,17.5
SLE,Sierra Leone,2021,26.3
SOM,"Somalia, Fed. Rep.",2009,25.3
SSD,South Sudan,2010,31.3
STP,Sao Tome and Principe,2019,11.7
SWZ,Eswatini,2021,20
SYC,Seychelles,2012,7.9
TCD,Chad,2022,31.9
TGO,Togo,2017,23.8
TUN,Tunisia,2018,8.4
TZA,Tanzania,2022,30
UGA,Uganda,2022,24.4
ZAF,South Africa,2017,21.3
ZMB,Zambia,2018,34.6
ZWE,Zimbabwe,2024,25.9
