year,indicator,value
2022,stunting,17.4
2017,stunting,17.5
2014,stunting,18.8
2011,stunting,22.8
2008,stunting,28.4
2006,stunting,27.9
2003,stunting,35.5
2022,underweight,12
2017,underweight,12.6
2014,underweight,11.2
2011,underweight,13.4
2008,underweight,14.4
2006,underweight,13.9
2003,underweight,19
2022,severe_wasting,1.2
2017,severe_wasting,1.1
2014,severe_wasting,0.7
2011,severe_wasting,1.4
2008,severe_wasting,2.4
2006,severe_wasting,1.8
2003,severe_wasting,2.8
2022,overweight,2
2017,overweight,1.4
2014,overweight,2.6
2011,overweight,2.6
2008,overweight,5.7
2006,overweight,2.6
2003,overweight,4.5
2019,anaemia_child,59.5
2018,anaemia_child,61
2017,anaemia_child,62.6
2016,anaemia_child,64.1
2015,anaemia_child,65.4
2014,anaemia_child,66.5
2013,anaemia_child,67.5
2012,anaemia_child,68.4
2011,anaemia_child,69.4
2010,anaemia_child,70.5
2009,anaemia_child,71.7
2008,anaemia_child,72.6
2007,anaemia_child,73.5
2006,anaemia_child,74.2
2005,anaemia_child,74.8
2004,anaemia_child,75.3
2003,anaemia_child,75.7
2002,anaemia_child,76
2001,anaemia_child,76.2
2000,anaemia_child,76.4
